DBUID,24hr_trip_count_August_2018
35202576007,466
35202577001,467
35202577002,467
35202701007,811
35202702003,1130
35202702004,547
35202845001,2487
35202845003,2170
35202845004,2163
35202845005,3488
35202845006,2170
35202846001,2170
35202847002,2170
35202847003,2487
35202847004,2364
35202847005,2203
35202848001,2203
35202849003,1983
35202849004,2210
35202850003,2896
35202878002,1798
35202878004,2229
35202702021,1529
35202702022,1026
35202702023,1026
35202878005,1896
35202879002,973
35202879003,973
35202879004,980
35202879005,973
35202879006,1330
35202879007,973
35202879008,1267
35202879009,1330
35202879011,1066
35203015001,431
35203016001,431
35203016002,472
35203016003,472
35203016004,472
35203018001,431
35203026002,618
35203026003,618
35203027001,618
35203027002,618
35203621002,682
35203621003,790
35201694006,566
35201694013,566
35201694014,566
35201694015,778
35201695001,566
35201695003,473
35201695004,473
35201696002,566
35203527014,652
35203527015,1135
35203528001,1154
35203528002,772
35203528003,715
35203528004,929
35203528005,657
35203529001,1285
35203529002,967
35203530001,1285
35201696006,473
35201697001,473
35201697002,473
35201697003,473
35201697004,473
35201697005,473
35201788003,808
35201788004,808
35201788005,658
35201789001,808
35201789002,808
35201790001,808
35201790002,808
35201790003,961
35201791004,1145
35201792001,808
35201792002,808
35201793001,305
35201793002,681
35201914003,1296
35201915001,282
35201915002,1296
35201915003,1296
35201916001,1296
35201916002,1296
35201916003,1296
35201916004,1296
35201916005,787
35201699006,473
35201699007,473
35201700001,431
35201700002,431
35201700003,431
35201700004,431
35201700005,431
35201700006,778
35201700009,431
35201700010,778
35201700011,778
35201803004,930
35201804001,930
35201804002,615
35202028002,212
35202029001,350
35202029002,552
35202029003,494
35201806002,496
35201806003,793
35201806004,935
35201806005,1115
35201806006,865
35201807001,868
35201807002,495
35201807003,495
35201807004,495
35201807005,495
35201807006,495
35201816001,305
35201816002,626
35201816003,678
35201919021,1296
35201919022,1296
35202036001,1391
35202036002,1391
35202036006,910
35202037004,822
35202037005,447
35202141006,1243
35202141007,1243
35202141008,958
35202141009,1367
35202141010,1367
35202141011,1307
35201920013,1500
35201935001,138
35201935002,138
35201935003,138
35201935004,138
35201935005,138
35201935006,138
35202145001,411
35202147001,1187
35202149001,411
35202149002,411
35202149003,411
35202149004,411
35202149005,411
35202149006,411
35202150001,1146
35202150002,411
35202150003,136
35202151001,412
35202151002,412
35202151003,413
35202151004,1109
35202152001,1125
35202152003,1187
35202294002,1497
35202294003,1497
35202294004,1286
35202294005,1498
35202295004,570
35202295006,570
35202295007,570
35202295008,359
35202295009,982
35202295010,855
35202295018,570
35202295020,161
35202295022,570
35202295023,570
35202296001,1409
35202296002,754
35202296003,754
35202296004,535
35202296005,345
35202296006,345
35202296007,345
35202297001,727
35202297002,727
35202297004,714
35202297006,714
35202297007,714
35202298001,1433
35202419006,2185
35202419007,1001
35202430001,3779
35202430002,3779
35202430003,3779
35202430004,3779
35202430005,3299
35202430006,473
35202431006,3858
35202433004,3779
35202436001,1505
35202436002,719
35202442003,1345
35202443002,1352
35202443004,1352
35202571001,357
35202571002,357
35202571003,924
35202571004,357
35202572001,924
35202572002,924
35202572003,357
35202572005,357
35202572006,357
35202300005,1433
35202300006,952
35202300007,952
35202301002,2175
35202301003,952
35202301005,1758
35202301006,952
35202301007,952
35202301008,952
35202301009,952
35202577003,645
35202702005,1052
35202702006,535
35202702007,443
35202702010,1026
35202702011,1026
35202702012,1026
35202702019,1026
35202449001,235
35202449002,829
35202449003,696
35202702024,625
35202879012,138
35202879013,112
35202880001,1977
35202880002,1977
35202880003,2238
35202880004,2163
35202880005,2276
35202881001,808
35202881002,800
35202881003,800
35202881004,2238
35202881005,2192
35202882001,74
35202882002,976
35202584006,467
35202585001,1718
35202585002,1772
35202585003,267
35202585004,1897
35202882003,699
35202883001,699
35202883002,351
35202883003,351
35202884001,351
35202884002,351
35202884003,351
35202884004,351
35202884005,351
35202884006,351
35202886001,938
35202886002,351
35202886003,351
35202886004,351
35202886005,351
35203031002,614
35203032001,803
35203033001,803
35203033002,444
35203034001,541
35203035001,639
35203530002,1834
35203530003,2486
35203621004,682
35203621005,682
35203622002,790
35203622003,682
35203623003,1582
35203623005,324
35203623006,381
35203623010,521
35203623011,875
35203623013,682
35203403015,408
35203403016,1470
35203403017,1208
35203404001,804
35203404002,649
35203623014,197
35203623015,767
35203623016,767
35203623017,436
35203626001,502
35203626002,996
35203626003,608
35203626004,502
35203626005,178
35203627001,996
35201697006,473
35201697007,473
35201698001,473
35201699001,347
35201699002,473
35201699003,473
35201699004,473
35201699005,473
35203530004,1834
35201804003,625
35201804004,626
35201805001,495
35201805002,794
35201805003,495
35201805004,495
35201806001,495
35203632002,246
35203632003,246
35203632005,682
35203632006,682
35203633001,246
35203633002,246
35201920002,713
35201920003,713
35201920004,713
35201920005,713
35201920007,713
35201920010,645
35201920011,1500
35201920012,1500
35201700012,431
35201700013,431
35201701001,431
35201701004,431
35201701005,905
35201701006,431
35201701007,752
35201701009,431
35201701010,431
35201701011,905
35201701012,905
35201702001,431
35201702002,431
35201702003,431
35201935007,138
35201935008,138
35201935009,138
35201936001,69
35201936002,709
35201936005,138
35201936006,138
35201936007,138
35201936008,103
35201937001,709
35201937002,709
35201937003,138
35202040001,1438
35202042005,1438
35202045001,1396
35202046002,1438
35202046003,1396
35202047001,869
35201817005,808
35201817006,305
35201817007,435
35202047002,1396
35202048001,528
35202048002,1350
35202049001,869
35202049002,768
35202152005,1065
35202152012,1125
35202152017,2228
35202152018,2368
35202152019,2228
35201937004,844
35201937005,709
35201938001,138
35201938002,138
35202152020,2228
35202152021,2228
35202152022,1055
35202153001,1205
